Program,University,COLOMBO,GAMPAHA,KALUTARA,MATALE,KANDY,NUWARA ELIYA,GALLE,MATARA,HAMBANTOTA,JAFFNA,KILINOCHCHI,MANNAR,MULLAITIVU,VAVUNIYA,TRINCOMALEE,BATTICALOA,AMPARA,PUTTALAM,KURUNEGALA,ANURADHAPURA,POLONNARUWA,BADULLA,MONARAGALA,KEGALLE,RATNAPURA
PHARMACY,University of Ruhuna,NQC,1.3994,1.4321,NQC,1.3965,NQC,1.4923,1.4764,1.4849,NQC,NQC,NQC,1.4506,1.4387,NQC,1.5034,1.455,1.4419,1.4114,NQC,NQC,1.4547,1.4405,1.5006,1.419
MEDICAL LABORATORY SCIENCES,University of Peradeniya,1.7167,NQC,1.7401,NQC,1.7092,NQC,1.7304,1.712,1.7054,1.7561,NQC,NQC,NQC,NQC,NQC,1.7382,1.7194,NQC,1.7054,NQC,NQC,NQC,NQC,1.7271,1.7051
MEDICAL LABORATORY SCIENCES,University of Sri Jayewardenepura,1.6527,NQC,1.6534,NQC,1.6931,NQC,1.6681,1.668,1.6555,1.6543,NQC,NQC,NQC,1.6896,NQC,1.7539,1.6565,NQC,1.6575,NQC,NQC,NQC,NQC,1.6564,1.6553
MEDICAL LABORATORY SCIENCES,University of Jaffna,1.4305,1.3056,NQC,1.399,1.4771,1.1843,1.6107,NQC,NQC,1.6436,1.5983,1.5085,1.603,1.6158,1.6113,1.6084,1.6454,1.5206,NQC,1.3768,1.1836,1.5035,1.4777,NQC,1.5615
MEDICAL LABORATORY SCIENCES,University of Ruhuna,1.5562,1.5674,1.597,1.6323,1.5533,NQC,1.6253,1.5984,1.6116,NQC,NQC,NQC,NQC,NQC,1.6224,1.6084,1.5551,1.5445,1.5939,NQC,NQC,1.5724,NQC,1.5833,1.5562
RADIOGRAPHY,University of Peradeniya,1.4253,1.4341,1.4866,1.357,1.3905,1.2336,1.4146,1.4687,1.5502,1.5571,1.557,1.4238,1.4904,1.4813,1.5627,1.5164,1.5723,1.5429,1.5505,1.4098,1.2645,1.4799,1.5449,1.575,1.5037
MEDICAL IMAGING TECHNOLOGY,University of Colombo,1.5533,1.5085,1.5391,1.3418,1.4958,1.3735,1.4766,1.5766,1.5823,1.4538,1.2731,1.462,1.4162,1.5521,1.2794,1.5098,1.5852,1.5543,1.5507,1.4436,1.2247,1.5833,1.462,1.5194,1.5794
PHYSIOTHERAPY,University of Colombo,1.6537,NQC,1.6928,NQC,1.6857,NQC,1.6966,1.6836,1.6695,1.6759,NQC,NQC,NQC,NQC,1.6555,1.6657,1.7007,NQC,1.6734,NQC,NQC,NQC,NQC,NQC,1.6648
PHYSIOTHERAPY,University of Peradeniya,1.6151,1.5581,NQC,1.5072,1.5786,1.2694,1.6871,1.7154,NQC,1.7109,1.5702,1.543,1.6234,1.6377,NQC,1.6903,1.696,1.6454,1.7232,1.3458,1.3046,1.575,1.5372,1.6189,1.675
OCCUPATIONAL THERAPY,University of Kelaniya,1.2904,1.1592,1.3673,1.223,1.2908,1.1088,1.3834,1.4317,1.3729,1.3996,1.359,1.0102,1.4198,1.3074,1.3189,1.4293,1.4318,1.4324,1.3718,1.1897,1.1833,1.315,1.3262,1.3786,1.3096
OPTOMETRY,University of Sri Jayewardenepura,1.4086,1.2372,1.3898,1.3834,1.3863,1.1477,1.3966,1.4537,1.4359,1.4772,1.405,1.3446,1.4866,1.3532,1.4911,1.47,1.4633,1.4935,1.4388,1.1741,1.0784,1.3195,1.4246,1.4595,1.4414
ENVIRONMENTAL CONSERVATION & MANAGEMENT,University of Kelaniya,0.801,0.8661,0.8829,0.7818,0.8357,0.7375,0.9434,0.9402,0.975,0.6446,0.4486,0.9298,0.9779,0.6177,0.6674,0.6503,0.8476,0.8203,0.845,0.7954,0.8926,0.825,0.7508,0.9707,0.9048
