Program,University,COLOMBO,GAMPAHA,KALUTARA,MATALE,KANDY,NUWARA ELIYA,GALLE,MATARA,HAMBANTOTA,JAFFNA,KILINOCHCHI,MANNAR,MULLAITIVU,VAVUNIYA,TRINCOMALEE,BATTICALOA,AMPARA,PUTTALAM,KURUNEGALA,ANURADHAPURA,POLONNARUWA,BADULLA,MONARAGALA,KEGALLE,RATNAPURA
BIOSYSTEMS TECHNOLOGY (BST),Wayamba University of Sri Lanka,1.3115,1.2845,1.3059,1.3021,1.35,1.5024,1.3731,1.2998,1.2959,NQC,1.3952,1.3073,NQC,NQC,1.4643,1.4707,1.3013,1.2947,1.3399,1.2827,1.5222,1.2904,1.2984,1.3118,1.3437
BIOSYSTEMS TECHNOLOGY (BST),Uva Wellassa University of Sri Lanka,1.1466,1.1423,1.1392,1.4005,1.1435,1.1323,1.2831,1.192,1.1367,1.4436,NQC,NQC,NQC,1.1446,NQC,1.1487,1.1408,NQC,1.1463,1.1522,1.2411,1.1403,1.1313,1.1638,1.1338
INFORMATION COMMUNICATION TECHNOLOGY,University of Colombo,2.0302,2.0519,2.0287,2.0708,2.0953,2.0682,2.0443,2.0278,2.0748,2.0449,NQC,NQC,NQC,NQC,2.1626,2.2895,2.0736,2.2166,2.066,2.041,2.0605,2.0492,2.042,NQC,2.0827
INFORMATION COMMUNICATION TECHNOLOGY,University of Sri Jayewardenepura,2.2594,2.2575,2.2523,2.2375,2.2748,2.249,2.233,2.2341,2.3179,2.2743,NQC,NQC,NQC,NQC,2.2778,2.2707,2.4197,2.2483,2.3076,2.3644,3.1166,2.2533,2.2375,2.2542,2.335
INFORMATION COMMUNICATION TECHNOLOGY,University of Kelaniya,1.9023,1.9146,1.9073,1.9106,1.9205,2.0037,1.9038,1.9567,1.9451,1.9039,NQC,NQC,NQC,NQC,1.9857,1.9048,2.0068,1.9019,1.9087,1.9023,1.9857,1.9184,1.994,1.9378,1.9812
INFORMATION COMMUNICATION TECHNOLOGY,University of Ruhuna,1.6931,1.6873,1.6794,1.6922,1.7525,1.7607,1.674,1.6745,1.6927,NQC,NQC,NQC,NQC,NQC,NQC,1.6993,1.8338,NQC,1.7529,1.676,NQC,1.6766,NQC,1.7883,1.6966
INFORMATION COMMUNICATION TECHNOLOGY,South Eastern University of Sri Lanka,1.0585,1.1511,1.2266,1.3633,1.0538,1.1672,1.4967,NQC,1.3243,1.0821,1.0748,NQC,NQC,1.259,1.6671,NQC,1.0832,1.0772,1.3026,1.1131,1.1115,1.1762,1.1086,1.2169,1.0523
INFORMATION COMMUNICATION TECHNOLOGY,Rajarata University of Sri Lanka,1.4153,1.3908,1.382,1.3976,1.4247,1.3969,1.4452,1.532,1.3884,1.3859,1.5104,NQC,NQC,NQC,NQC,1.3815,1.381,1.3821,1.3785,1.4027,NQC,1.3785,1.5211,1.3879,1.4266
INFORMATION COMMUNICATION TECHNOLOGY,"University of Vavuniya, Sri Lanka",0.9974,1.0193,1.4977,NQC,0.9404,0.8619,NQC,NQC,1.3141,0.8547,0.8913,0.5081,0.2412,0.1369,0.7518,1.3603,0.8812,0.8199,1.3026,1.0335,0.669,1.2276,0.7886,1.2555,1.0482
INFORMATION COMMUNICATION TECHNOLOGY,Uva Wellassa University of Sri Lanka,1.5338,1.5746,1.5374,1.5794,1.5392,1.6373,1.548,1.554,1.5584,1.8565,NQC,NQC,NQC,NQC,1.7729,1.5967,1.6034,1.6217,1.5324,1.5535,1.8568,1.5882,1.5603,1.5584,1.5407
PHYSICAL SCIENCE -ICT,University of Sri Jayewardenepura,0.9679,0.9607,0.9734,1.2561,1.0196,NQC,0.9758,0.9772,0.962,0.9819,NQC,NQC,NQC,NQC,NQC,0.9607,NQC,1.3494,0.9763,0.9904,NQC,NQC,NQC,1.039,0.9947
PHYSICAL SCIENCE -ICT,University of Kelaniya,0.8942,0.8843,0.9089,0.4549,0.6295,0.4319,0.9235,1.3015,0.7725,0.9422,-0.0832,NQC,-0.2476,0.4188,0.5883,0.5258,-0.0818,0.198,0.881,0.6726,0.2815,0.5365,0.8387,0.7501,0.6155
TRANSLATION STUDIES #,University of Kelaniya,1.3257,1.3795,1.2803,1.3401,1.2902,NQC,1.3169,1.3136,1.2827,NQC,NQC,NQC,NQC,NQC,NQC,NQC,NQC,NQC,NQC,1.3924,NQC,1.3606,NQC,NQC,NQC
TRANSLATION STUDIES #,University of Jaffna,0.3594,NQC,0.5809,NQC,0.6802,0.7378,NQC,0.2825,NQC,0.926,0.6382,0.8658,0.9694,0.9181,0.1045,0.9021,0.5429,0.891,0.317,-0.3788,NQC,0.308,NQC,0.6421,0.5192
TRANSLATION STUDIES #,"Eastern University, Sri Lanka",0.6717,0.924,0.7276,0.6232,0.7095,1.3782,0.8917,NQC,NQC,NQC,NQC,NQC,NQC,NQC,0.757,0.8875,0.585,1.2304,0.7734,0.6794,NQC,1.2677,NQC,0.6656,NQC
TRANSLATION STUDIES #,Sabaragamuwa University of Sri Lanka,1.1138,0.8462,1.0886,0.9007,0.9852,NQC,1.1879,1.1603,1.0815,NQC,NQC,NQC,NQC,NQC,NQC,NQC,NQC,0.7059,0.6582,1.0974,0.9177,1.0347,NQC,0.9974,1.0633
FILM & TELEVISION STUDIES #,University of Kelaniya,1.0316,0.8714,1.0585,NQC,0.7936,0.515,1.1485,1.1187,1.199,NQC,NQC,NQC,NQC,NQC,NQC,NQC,0.7682,0.6505,1.0794,0.9846,1.4126,1.125,1.055,1.209,1.0389
PROJECT MANAGEMENT,"University of Vavuniya, Sri Lanka",1.3184,1.304,1.3114,1.4221,1.3343,1.394,1.3229,1.3183,1.317,1.4395,1.2347,1.2516,1.1682,1.4837,1.483,1.4334,1.4135,1.4858,1.425,1.3737,1.4168,1.3095,1.432,1.4662,1.348
TEACHING ENGLISH AS A SECOND LANGUAGE (TESL) *,University of Sri Jayewardenepura,1.0633,1.0633,1.0633,1.0633,1.0633,1.0633,1.0633,1.0633,1.0633,1.0633,1.0633,1.0633,1.0633,1.0633,1.0633,1.0633,1.0633,1.0633,1.0633,1.0633,1.0633,1.0633,1.0633,1.0633,1.0633
TEACHING ENGLISH AS A SECOND LANGUAGE (TESL) *,University of Kelaniya,1.0999,1.0999,1.0999,1.0999,1.0999,1.0999,1.0999,1.0999,1.0999,1.0999,1.0999,1.0999,1.0999,1.0999,1.0999,1.0999,1.0999,1.0999,1.0999,1.0999,1.0999,1.0999,1.0999,1.0999,1.0999
VISUAL ARTS #,University of the Visual & Performing Arts,0.8758,0.602,0.9569,1.2767,0.9707,0.7268,0.1914,1.2467,1.1013,NQC,NQC,NQC,NQC,NQC,1.1231,NQC,0.463,0.6723,1.0532,0.9405,1.0939,0.5424,1.1041,1.0478,0.9832
MUSIC #,University of Sri Jayewardenepura,0.7807,-0.0905,0.3424,0.5595,0.0659,0.6688,1.766,0.858,0.9397,NQC,NQC,NQC,NQC,NQC,NQC,NQC,1.2128,NQC,0.9007,0.9304,0.5276,1.0123,0.5185,0.8921,0.7336
MUSIC #,University of the Visual & Performing Arts,0.2977,0.2155,0.5951,0.9793,0.8065,0.3023,0.9002,0.8851,0.4056,-0.2374,NQC,NQC,NQC,1.4451,0.6958,-0.2295,0.3449,0.4423,0.8633,0.8027,0.8736,0.7726,0.7226,0.9599,0.8004
DANCE #,University of the Visual & Performing Arts,0.7756,0.8958,0.9194,0.9385,0.9312,-0.1693,1.0293,1.0088,0.6664,NQC,NQC,NQC,NQC,1.105,0.8009,NQC,0.6324,0.0388,0.9299,0.971,0.7846,0.6111,0.9871,1.032,0.6529
DRAMA & THEATRE #,University of the Visual & Performing Arts,0.9184,0.7873,0.4765,1.0223,0.5006,0.394,0.3861,0.9872,NQC,NQC,NQC,NQC,NQC,NQC,0.7855,NQC,0.4125,0.9381,1.0478,0.9686,0.8736,1.0374,1.0565,1.0519,0.7332
ART & DESIGN #,University of Jaffna,NQC,1.2643,NQC,0.5481,NQC,-0.2382,1.3809,0.7901,NQC,0.375,-0.0806,0.705,0.5589,0.9317,0.3538,-0.2254,0.317,0.4301,NQC,-0.04,NQC,0.0831,0.2499,0.2188,0.4776
MUSIC #,University of Jaffna,0.0672,NQC,0.4778,0.274,0.1218,0.4185,NQC,-0.0609,NQC,0.5709,0.3848,0.569,0.6667,0.4882,-0.2208,0.5115,-0.8079,0.7703,NQC,NQC,NQC,-0.3555,0.418,0.8706,NQC
DANCE #,University of Jaffna,0.0655,-0.4526,-0.5592,0.4399,-0.0591,0.1365,NQC,NQC,NQC,0.4859,0.3409,0.1749,0.4024,0.4496,-0.0199,0.4023,-0.2764,-0.4137,NQC,NQC,NQC,0.2607,NQC,0.9244,-0.1878
VISUAL & TECHNOLOGICAL ARTS #,Swami Vipulananda Institute of Aesthetic Studies,NQC,NQC,-0.4372,0.467,-0.0373,0.2056,NQC,-0.1418,-0.0806,0.2134,0.9594,0.4944,0.4468,NQC,0.34,0.6957,0.5714,0.2398,0.345,0.1912,-0.2883,0.1355,0.0474,-0.5133,0.1522
MUSIC #,Swami Vipulananda Institute of Aesthetic Studies,NQC,NQC,0.6484,-0.2345,-0.5822,0.5513,-0.9468,0.238,NQC,0.566,0.5767,0.564,0.6064,-0.0913,0.5759,0.7486,0.0929,NQC,NQC,NQC,0.1868,-0.1891,NQC,0.5523,-0.0469
DANCE #,Swami Vipulananda Institute of Aesthetic Studies,0.2439,NQC,0.7635,-0.1395,-0.6296,0.0173,NQC,NQC,NQC,0.406,0.4378,0.5766,0.3287,-0.3866,0.9836,0.471,-0.1534,NQC,NQC,NQC,NQC,-0.2628,NQC,NQC,NQC
DRAMA & THEATRE #,Swami Vipulananda Institute of Aesthetic Studies,-0.3643,NQC,0.0772,0.4405,-0.1319,0.3666,NQC,NQC,NQC,0.9743,1.0107,0.8425,0.9723,0.3932,0.9159,0.9995,0.786,0.4275,0.0571,NQC,-0.9508,-0.0167,NQC,0.7294,0.4033
