Course,University,Colombo,Gampaha,Kalutara,Matale,Kandy,Nuwara Eliya,Galle,Matara,Hambantota,Jaffna,Kilinochchi,Mannar,Mullaitivu,Vavuniya,Trincomalee,Batticaloa,Ampara,Puttalam,Kurunegala,Anuradhapura,Polonnaruwa,Badulla,Monaragala,Kegalle,Ratnapura
Medicine,Wayamba University of Sri Lanka,1.9313,1.7018,1.7883,1.7716,1.8217,1.603,1.893,1.9625,,,,,,,1.6985,,1.8203,1.6878,1.8327,1.599,1.5923,1.6794,1.5885,1.7787,
Dental Surgery,University of Peradeniya,1.8534,1.674,1.7794,1.7449,1.8114,,1.8577,1.8652,1.8249,1.8516,,1.6981,,1.7105,1.6941,1.8133,1.7805,1.6673,1.8081,1.5067,1.5502,1.6466,1.4966,1.7638,1.7587
Dental Surgery,University of Sri Jayewardenepura,1.859,1.6856,,,,1.4637,1.852,1.8631,,,1.4595,,1.7104,,,,1.7829,,,1.4877,,,1.4042,,
Veterinary Science,University of Peradeniya,1.7397,1.6297,1.7389,1.664,1.7606,1.4199,1.77,1.7838,1.77,1.7417,1.4482,1.6781,1.7033,1.7061,1.6596,1.6827,1.7165,1.5761,1.7771,1.4641,1.437,1.6042,1.3783,1.7447,1.7264
Biochemistry & Molecular Biology,University of Colombo,1.7966,1.6299,1.7536,1.7408,1.8032,1.4124,1.8109,1.8085,1.7882,1.8149,1.2509,1.6198,1.4887,1.6437,1.6851,1.7347,1.6605,1.6327,1.8007,1.4658,1.5321,1.6073,1.3628,1.746,1.7379
Agricultural Technology & Management,University of Peradeniya,1.2522,1.2548,1.3334,1.4595,1.4388,1.3029,1.3776,1.4518,1.4396,1.386,1.0146,1.2516,1.3775,1.4734,1.2107,1.3868,1.2763,1.3032,1.4227,1.36,1.1486,1.3364,1.2875,1.4116,1.3181
Agriculture,University of Jaffna,0.5565,0.5238,0.6754,0.7933,0.6872,0.5198,0.6863,0.7699,0.7509,0.714,0.5335,0.6559,0.5586,0.5778,0.5091,0.5646,0.7229,0.5142,0.6879,0.5445,0.6401,0.6024,0.5389,0.7329,0.5764
Agriculture,"Eastern University, Sri Lanka",0.5619,0.4569,0.6839,0.6612,0.718,0.4581,0.6604,0.723,,0.8409,0.4842,0.4941,0.6111,0.4353,0.4778,0.5431,0.7065,0.4543,0.6814,0.5516,0.3941,0.665,0.5033,0.7265,0.5787
Agriculture,Rajarata University of Sri Lanka,0.6095,0.6179,0.6882,0.6106,0.6807,0.6229,0.6428,0.7073,0.6806,0.7042,,0.8485,,0.6133,,0.6726,0.6795,0.6682,0.6755,0.6138,0.7512,0.6151,0.6299,0.7104,0.6218
Agriculture,Sabaragamuwa University of Sri Lanka,0.7397,0.7908,0.7605,0.7691,0.7545,0.8013,0.7414,0.7522,0.7376,0.9988,,,,0.8363,,,,0.7987,0.7497,0.7472,0.8213,0.7392,0.7412,0.7529,0.7608
Agriculture,Wayamba University of Sri Lanka,0.6247,0.6284,0.6734,0.6643,0.6825,0.8534,0.6488,0.7096,0.684,0.737,,,0.6587,,,0.7841,0.6941,0.6546,0.6738,0.6677,,0.692,0.6316,0.7114,0.628
Food Science & Nutrition,Wayamba University of Sri Lanka,1.1348,1.1721,1.2384,1.2096,1.2612,1.1471,1.2553,1.2592,1.2473,1.1919,0.6139,1.0077,1.0195,1.2736,1.1069,1.2342,1.2792,1.2013,1.2473,1.0938,1.1167,1.1482,1.0817,1.285,1.1789
Food Science & Technology,University of Peradeniya,1.5913,1.5884,1.6106,1.5956,1.5993,,1.5909,1.6169,1.6022,1.6961,,,,,,,,,1.6404,,,,,1.5859,1.5929
Food Science & Technology,University of Sri Jayewardenepura,1.5482,1.5471,1.5525,1.5786,1.5708,,1.5497,1.5713,1.55,1.5807,,,,,1.5479,,,,1.5463,,,,,1.5597,1.5658
Food Science & Technology,Sabaragamuwa University of Sri Lanka,1.4507,1.3456,1.5376,1.345,1.2652,1.138,1.5446,,1.434,1.3579,0.5559,0.9024,0.8715,1.2494,1.1226,1.0066,1.2324,1.168,1.3363,1.0831,0.9823,1.2004,1.2393,1.4642,1.2087
Biological Science,University of Colombo,1.6014,1.6194,1.6262,1.7145,1.5986,,1.6182,1.6143,1.6232,1.6818,,,,,,,,1.607,1.6359,,,1.771,,1.6138,1.6134
Biological Science,University of Peradeniya,1.4529,1.4541,1.4561,1.4542,1.457,,1.481,1.4632,1.4689,1.453,,,,1.4623,,1.4664,1.4635,1.455,1.465,,,1.456,1.5404,1.4564,1.456
Biological Science,University of Sri Jayewardenepura,1.3382,1.3416,1.3449,1.3581,1.3415,,1.3421,1.3388,1.3393,1.3579,,,,1.3554,1.4306,1.4738,1.3617,1.3533,1.3566,1.3577,1.3914,1.3379,,1.3599,1.342
Biological Science,University of Kelaniya,1.2516,1.2572,1.261,1.2755,1.2514,1.2856,1.2611,1.2519,1.268,1.2545,,,,1.3039,1.3004,1.2657,1.2568,1.2516,1.2502,1.2681,,1.251,,1.2602,1.2668
Biological Science,University of Jaffna,1.0364,0.9267,,0.9328,1.1642,0.9545,1.0895,,,1.046,0.9321,,1.1797,0.9382,1.1801,0.9413,0.9892,0.9288,1.0389,0.9307,0.9436,0.9363,0.9289,1.1179,0.9351
Biological Science,University of Ruhuna,1.1122,1.1131,1.1162,1.1383,1.1637,1.1921,1.1172,1.1377,1.1427,,,,,,,,1.1444,1.1239,1.1122,1.1698,1.2074,1.1226,1.1352,1.1137,1.124
Biological Science,Eastern University of Sri Lanka,1.031,0.8122,,1.1028,,0.7924,1.1021,,0.808,,,,0.84,,0.8232,0.7976,0.7875,0.8,1.0611,0.7815,0.8421,0.7868,0.7909,1.1049,0.792
Biological Science,South Eastern University of Sri Lanka,1.0762,0.7285,,1.1412,,0.478,,,0.9064,,0.5231,0.2473,0.645,0.4784,0.5556,0.5383,0.7763,0.7031,,0.4899,0.5709,0.7318,0.4953,,0.6881
Applied Sciences (Bio.Sc),Rajarata University of Sri Lanka,0.852,0.8863,0.8461,0.8831,0.8953,0.886,0.8821,0.9336,0.849,0.8772,,,,,0.9137,0.8694,0.9039,0.8669,0.8461,0.8497,,0.8869,0.8516,0.9084,0.8567
Applied Sciences (Bio.Sc),Sabaragamuwa University of Sri Lanka,0.9558,0.9408,0.9576,,0.9452,,0.9524,0.9469,0.9519,,,,,,,,1.0388,,0.974,,,0.962,,0.9593,0.9513
Applied Sciences (Bio.Sc),"University of Vavuniya, Sri Lanka",0.7172,0.5815,0.8333,0.7147,,0.4038,,,0.7247,0.8133,0.4054,0.4127,0.8253,0.425,0.5157,0.4999,0.6766,0.5565,0.829,0.5093,0.4866,0.6846,0.4712,,0.6325
Engineering,University of Peradeniya,1.9344,1.9372,1.9365,1.9409,1.9388,1.9378,1.9345,1.9343,1.9344,1.9419,2.0605,1.9976,1.9619,1.9625,1.9344,1.9475,1.9457,1.9537,1.9388,1.9368,1.9788,1.941,1.9507,1.9441,1.9395
Engineering,University of Sri Jayewardenepura,1.792,1.7698,1.7828,,1.7947,1.8383,1.8072,1.7824,1.7777,1.8251,,,,1.7838,1.8091,1.8055,,1.7979,1.7994,1.7945,,,1.9726,1.925,
Engineering,University of Jaffna,,1.4869,,1.4228,,1.3966,,,,1.8914,1.4655,1.4485,1.4262,1.4379,1.399,1.4967,1.4846,1.3893,,1.393,1.4186,1.6211,1.4519,,1.3954
Engineering,University of Ruhuna,1.792,1.6519,1.6522,1.678,1.6797,1.668,1.8072,1.7489,1.7119,,1.753,1.7453,1.7797,1.6966,1.6623,1.6679,1.6605,1.6559,1.6829,1.6665,1.6694,1.6512,1.6553,1.6845,1.6542
Engineering,University of Moratuwa,2.0822,2.099,2.0979,2.1655,2.0884,2.0784,2.0817,2.0874,2.0882,2.0855,2.5733,2.0987,2.3472,2.0832,2.0848,2.0881,2.1903,2.1331,2.0822,2.1239,2.215,2.0849,2.158,2.1001,2.0893
Engineering,South Eastern University of Sri Lanka,,,,,,0.999,,,,,,1.1641,1.2297,,1.2124,,1.5553,1.2293,,1.3443,1.0566,,1.17,,1.3763
Engineering (Em),University of Moratuwa,1.6112,1.4385,1.5898,1.5586,1.5922,1.3472,1.6046,1.6087,1.6049,1.5397,1.3518,1.0452,1.179,1.1315,1.4911,1.4766,1.4626,1.2926,1.6057,1.3429,1.2446,1.6085,1.466,1.6235,1.4571
Engineering (Tm),University of Moratuwa,1.6035,1.5005,1.5975,1.4806,1.5673,1.1419,1.6142,1.6208,1.5969,1.5124,1.3448,0.8333,0.7776,1.0342,1.2805,1.4277,1.4599,1.412,1.6137,1.3907,1.377,1.6179,1.5103,1.5981,1.5608
Quantity Surveying,University of Moratuwa,1.4676,1.4058,1.4616,1.3141,1.457,0.9854,1.4916,1.4949,1.4718,1.4683,1.2235,0.9041,1.0459,1.0856,1.2412,1.3873,1.4404,1.2,1.4798,1.2699,0.9754,1.4655,1.1243,1.4813,1.3403
Computer Science,University of Kelaniya,1.5512,1.5557,1.5598,,1.5612,,1.5517,1.5499,1.5658,1.558,,,,,,,,,1.5516,,,1.5737,,1.5488,
Computer Science,University of Jaffna,1.365,1.2145,1.3225,1.1854,1.1902,,,,,1.4099,1.131,,,,1.2289,1.1583,1.1277,1.1296,1.2575,1.1447,,1.3256,,1.2515,1.2098
Computer Science,University of Ruhuna,1.3887,1.3905,1.3905,1.401,1.3908,,1.4627,1.4374,1.4324,1.4369,,,,,,1.3966,1.3919,,1.3884,,,1.3996,,1.4173,1.4758
Computer Science,University of Colombo School of Computing,1.6318,1.6971,1.6326,,1.6383,2.1144,1.6311,1.633,1.6384,1.6661,,,,,,2.1836,,1.8478,1.6366,,,1.6333,,1.6495,1.7032
Computer Science,Eastern University - Trincomalee Campus,1.3776,1.2181,1.2521,0.9575,,0.5758,,,,,1.0441,0.5143,0.5433,0.6107,0.6438,1.0121,1.0274,0.7563,,0.9125,0.6918,1.3494,0.7431,,0.7605
Computer Science,University of Sri Jayewardenepura,1.5406,1.5421,1.5588,,1.5434,,1.5405,1.5399,1.5416,1.5702,,,,,,,,,1.5408,,,,,1.5406,1.6225
Physical Science,University of Colombo,1.3125,1.3211,1.3232,1.5311,1.3178,,1.3117,1.3251,1.3213,1.392,,,,,,,,1.7209,1.3144,1.3141,,1.318,,1.3206,1.3337
Physical Science,University of Peradeniya,1.2039,1.2051,1.206,1.2341,1.2056,,1.2076,1.205,1.2103,1.2579,,,,,,1.2452,1.2397,1.2267,1.2041,1.2215,1.2186,1.2133,,1.2103,1.208
Physical Science,University of Sri Jayewardenepura,1.1214,1.1208,1.1209,,1.1348,,1.1282,1.1209,1.1282,1.1264,,,,,,1.1447,,1.1373,1.1306,,,1.1325,1.1448,1.1324,1.1293
Physical Science,University of Kelaniya,1.0119,1.0149,1.0114,1.0258,1.012,,1.0156,1.0118,1.0249,1.027,1.0433,,,,,1.0694,1.0163,,1.0144,1.0118,1.024,1.0315,1.0516,1.0157,1.0208
Physical Science,University of Jaffna,0.8342,0.7551,0.843,0.6861,0.7715,0.7215,0.8888,0.9951,0.7785,0.7778,0.7627,,,0.7015,0.6945,0.7211,0.7198,0.6962,0.8638,0.6848,0.7219,0.7495,0.7024,0.9253,0.69
Physical Science,University of Ruhuna,0.9337,0.9362,0.9315,0.9426,0.9366,0.9413,0.9323,0.9615,0.934,0.9539,0.9343,,,0.9689,,0.9421,0.9618,0.9795,0.9331,0.9339,,0.9413,0.9386,0.9385,0.9333
Physical Science,"Eastern University, Sri Lanka",0.8325,0.8174,0.8346,0.5816,0.7689,0.4292,,0.9617,0.8211,0.8052,0.6012,,0.4528,0.4523,0.4447,0.4464,0.6413,0.4649,0.8743,0.5559,0.4336,0.7997,0.5323,,0.5665
Physical Science,South Eastern University of Sri Lanka,0.8762,0.7607,0.828,0.571,0.7916,0.2757,0.9263,,0.7259,,0.659,-0.0549,0.2124,0.217,0.3274,0.5855,0.6366,0.3965,0.8745,0.5643,0.4573,0.7468,0.5809,0.9213,0.5615
Surveying Science,Sabaragamuwa University of Sri Lanka,1.002,1.0268,1.2658,0.9429,0.9669,0.8777,1.2342,1.2406,1.2864,1.2887,1.185,0.7668,0.9119,1.0034,1.1073,1.1299,1.1098,0.8383,1.1901,1.0576,0.941,1.2523,1.0834,1.2485,1.1879
Applied Sciences (Phy.Sc),Rajarata University of Sri Lanka,0.7898,0.7977,0.7906,0.8192,0.8161,0.9832,0.81,0.7992,0.7946,0.7921,,,,,,0.8449,0.8068,,0.7895,0.8514,,0.8098,0.8475,0.7947,0.7991
Applied Sciences (Phy.Sc),Sabaragamuwa University of Sri Lanka,0.8779,0.8973,0.8834,,0.9221,,0.8779,0.8843,0.8779,0.9464,,,,,,,,,0.888,0.8801,,0.93,,0.9068,0.8859
Applied Sciences (Phy.Sc),Wayamba University of Sri Lanka,0.7477,0.7455,0.756,0.7686,0.7461,,0.7548,0.7815,0.7498,0.7628,,,,,,,0.7502,0.8356,0.7475,0.8023,,0.8348,1.0368,0.7616,0.7523
Applied Sciences (Phy.Sc),"University of Vavuniya, Sri Lanka",0.7425,0.7223,,0.533,0.72,,0.733,0.8091,0.7333,0.728,0.6301,,,,0.4498,0.5437,0.5571,0.4693,0.7234,0.5196,0.4518,0.6155,0.4885,,0.5084
Applied Sciences (Phy.Sc),Eastern University - Trincomalee Campus,,0.7295,,0.5416,0.7022,0.1403,0.7638,,0.7025,,0.369,-0.1471,0.1879,0.2128,0.2722,0.6169,0.5683,0.317,0.7186,0.5197,0.3095,0.6565,0.4246,0.7646,0.5251
Management,University of Colombo,1.7286,1.7287,1.7307,1.7346,1.7272,1.7297,1.7296,1.7289,1.73,1.7396,1.7376,,,1.7296,1.7685,1.7743,1.7465,1.7267,1.7306,1.7384,1.7366,1.7481,1.7288,1.729,1.7332
Management,University of Peradeniya,1.5947,1.5951,1.5942,1.6051,1.595,1.5953,1.5999,1.6066,1.599,1.6017,1.6299,1.6041,1.6423,,1.5994,1.6021,1.5996,1.6048,1.5964,1.609,,1.6024,1.6485,1.6251,1.5969
Management,University of Sri Jayewardenepura,1.7857,1.7872,1.8093,1.7977,1.7921,1.7948,1.7894,1.7904,1.8202,1.7855,1.8028,1.8025,1.8128,1.8071,1.8106,1.7954,1.8656,1.7892,1.7851,1.821,1.8192,1.7872,1.7855,1.7912,1.7882
Management,University of Kelaniya,1.6366,1.6388,1.6385,1.6386,1.6366,1.6374,1.6379,1.6393,1.6422,,,,,,1.6832,1.6695,1.6534,1.6579,1.6355,1.6432,1.6595,1.6388,1.6393,1.6382,1.6406
Management,University of Jaffna,1.3351,1.2844,1.5296,1.2803,1.2716,1.1822,,,1.1516,1.1938,1.1442,1.1732,1.2115,1.151,1.1452,1.1497,1.1215,1.1944,1.3061,1.1181,1.1901,1.2219,1.4025,,1.2555
Management,University of Ruhuna,1.4089,1.4147,1.4119,1.4366,1.4152,1.4165,1.4093,1.4138,1.4221,1.587,,,,,1.4553,1.4687,1.4279,1.458,1.4249,1.4091,1.4112,1.4209,1.4112,1.4178,1.4102
Management,"Eastern University, Sri Lanka",1.3427,1.286,1.3453,,1.2786,1.1807,,,1.1095,1.375,,,1.5934,0.6814,1.011,1.0042,1.0851,1.264,1.3495,1.0967,1.2437,1.2295,,1.2955,1.253
Management,South Eastern University of Sri Lanka,1.3929,1.3713,,,1.3265,1.2214,1.3322,,1.1039,,,,,0.7208,1.015,1.0118,1.0872,1.2491,,1.0967,1.2624,1.2268,,1.2892,1.2662
Management,Rajarata University of Sri Lanka,1.3248,1.2881,1.3377,1.2976,1.2899,1.2925,1.3279,,1.2901,1.4015,,,,,1.3112,1.2925,1.3165,1.2979,1.3061,1.2982,1.2933,1.2903,1.3521,1.2926,1.2869
Management,Sabaragamuwa University of Sri Lanka,1.3488,1.3487,1.3496,1.3515,1.3513,1.3521,1.3489,1.4271,1.3534,,1.4106,1.5103,,,1.3716,,1.407,1.3547,1.3527,1.3626,1.3603,1.3495,1.3596,1.3489,1.3507
Management,Wayamba University of Sri Lanka,1.3746,1.3754,1.4056,1.377,1.3737,1.3981,,,1.4009,,,,,,1.3852,,1.4042,1.3739,1.3761,1.3762,1.377,1.3796,1.3744,1.3787,1.3771
Estate Management & Valuation,University of Sri Jayewardenepura,1.573,1.485,1.5471,1.5813,1.5859,1.4538,1.5358,1.5995,1.5996,1.3846,1.452,1.349,1.2077,1.5624,1.4728,1.4437,1.3095,1.4558,1.5654,1.4925,1.4484,1.5864,1.5676,1.5695,1.5729
Commerce,University of Sri Jayewardenepura,1.6016,1.6019,1.6076,1.6285,1.6133,1.6235,1.6063,1.6137,1.6418,,,,,1.6363,,,1.6145,1.6321,1.6095,1.6315,1.6875,1.602,,1.606,1.6048
Commerce,University of Kelaniya,1.4858,1.4877,1.4881,1.4947,1.4887,1.5172,1.492,1.509,1.4925,1.5843,,,,,,,1.5017,1.5698,1.4847,1.5396,1.5924,1.504,1.5741,1.4909,1.4999
Commerce,University of Jaffna,1.284,1.2303,1.3026,1.2488,1.2295,1.1743,1.2736,1.2893,,1.1793,,,1.1902,,,,,1.1768,1.2592,1.1782,1.1799,1.1819,1.3012,1.2472,1.1946
Commerce,"Eastern University, Sri Lanka",1.2862,1.2321,1.297,1.2491,1.2421,1.0869,1.2729,1.2901,1.0511,1.0495,1.1022,1.1032,1.1633,1.0506,,,1.0613,1.1005,1.2553,1.0406,1.1151,1.1612,1.2972,1.2473,1.1928
Commerce,South Eastern University of Sri Lanka,1.2893,1.2284,1.313,1.2591,1.2461,1.1027,1.274,1.2928,1.0386,1.1047,,,,0.6308,0.9099,0.9366,1.0088,1.0987,1.2563,1.034,1.1716,1.1612,1.2978,1.2838,1.1875
Management (Public) Honours,University of Sri Jayewardenepura,1.6169,1.5912,1.5233,1.5865,1.4953,1.4577,1.5671,1.6124,1.577,1.5151,1.571,1.393,1.3468,1.5084,1.5996,1.5528,1.5708,1.4328,1.5144,1.4694,1.5426,1.5269,1.6017,1.6149,1.5649
Business Information Systems (Honours) (Bis),University of Sri Jayewardenepura,1.8554,1.7355,1.7742,1.7037,1.6606,1.7144,1.8215,1.8549,1.6643,1.6798,1.152,1.6901,1.3451,1.5979,1.5261,1.7083,1.552,1.5069,1.6187,1.7267,1.5424,1.6664,1.5678,1.6706,1.787
Financial Engineering #,University of Kelaniya,1.4339,1.3676,1.3939,1.4343,1.3564,1.0816,1.4121,1.2953,1.218,1.013,,1.0402,1.005,,1.4567,1.1719,0.8791,,1.1435,1.2883,1.2115,1.4444,1.2057,1.3873,1.1152
Banking & Insurance,"University of Vavuniya, Sri Lanka",1.2671,1.2375,1.3003,1.2853,1.2384,1.1397,1.3066,1.3032,1.2062,1.2965,1.1437,1.099,1.1324,1.0603,1.2861,1.3085,1.0582,1.1803,1.2689,1.1616,1.1034,1.2291,1.2902,1.2935,1.2643
Law,University of Colombo,2.0202,2.026,2.0267,2.0231,2.0307,2.0688,2.026,2.0477,2.0288,2.0314,,,,2.0504,2.0431,2.024,2.0505,2.0215,2.0178,2.0225,2.0371,2.0372,2.0431,2.0237,2.0285
Law,University of Peradeniya,1.9965,1.9896,1.9925,1.9908,1.9897,1.9978,1.9971,2.012,2.005,2.0023,,,,,2.006,2.0012,1.9951,1.9936,1.9979,1.9998,1.9933,,1.9931,2.0039,2.0017
Law,University of Jaffna,1.9635,1.8662,1.8602,1.8971,1.8426,1.9389,1.9432,1.9573,1.8834,1.9414,1.7645,1.8947,1.9483,2.0173,1.9408,1.9333,1.8527,1.9213,1.9528,1.9814,1.9769,1.9117,1.9809,1.9511,1.8876
Arts *,University of Colombo,1.7686,1.7686,1.7686,1.7686,1.7686,1.7686,1.7686,1.7686,1.7686,1.7686,1.7686,1.7686,1.7686,1.7686,1.7686,1.7686,1.7686,1.7686,1.7686,1.7686,1.7686,1.7686,1.7686,1.7686,1.7686
Arts *,University of Peradeniya,1.6494,1.6494,1.6494,1.6494,1.6494,1.6494,1.6494,1.6494,1.6494,1.6494,1.6494,1.6494,1.6494,1.6494,1.6494,1.6494,1.6494,1.6494,1.6494,1.6494,1.6494,1.6494,1.6494,1.6494,1.6494
Arts *,University of Sri Jayewardenepura,1.5844,1.5844,1.5844,1.5844,1.5844,1.5844,1.5844,1.5844,1.5844,1.5844,1.5844,1.5844,1.5844,1.5844,1.5844,1.5844,1.5844,1.5844,1.5844,1.5844,1.5844,1.5844,1.5844,1.5844,1.5844
Arts *,University of Kelaniya,1.5027,1.5027,1.5027,1.5027,1.5027,1.5027,1.5027,1.5027,1.5027,1.5027,1.5027,1.5027,1.5027,1.5027,1.5027,1.5027,1.5027,1.5027,1.5027,1.5027,1.5027,1.5027,1.5027,1.5027,1.5027
Arts *,University of Jaffna,1.2716,1.2716,1.2716,1.2716,1.2716,1.2716,1.2716,1.2716,1.2716,1.2716,1.2716,1.2716,1.2716,1.2716,1.2716,1.2716,1.2716,1.2716,1.2716,1.2716,1.2716,1.2716,1.2716,1.2716,1.2716
Arts *,University of Ruhuna,1.4158,1.4158,1.4158,1.4158,1.4158,1.4158,1.4158,1.4158,1.4158,1.4158,1.4158,1.4158,1.4158,1.4158,1.4158,1.4158,1.4158,1.4158,1.4158,1.4158,1.4158,1.4158,1.4158,1.4158,1.4158
Arts *,"Eastern University, Sri Lanka",1.1925,1.1925,1.1925,1.1925,1.1925,1.1925,1.1925,1.1925,1.1925,1.1925,1.1925,1.1925,1.1925,1.1925,1.1925,1.1925,1.1925,1.1925,1.1925,1.1925,1.1925,1.1925,1.1925,1.1925,1.1925
Arts *,South Eastern University of Sri Lanka,1.3357,1.3357,1.3357,1.3357,1.3357,1.3357,1.3357,1.3357,1.3357,1.3357,1.3357,1.3357,1.3357,1.3357,1.3357,1.3357,1.3357,1.3357,1.3357,1.3357,1.3357,1.3357,1.3357,1.3357,1.3357
Arts *,Rajarata University of Sri Lanka,1.3776,1.3776,1.3776,1.3776,1.3776,1.3776,1.3776,1.3776,1.3776,1.3776,1.3776,1.3776,1.3776,1.3776,1.3776,1.3776,1.3776,1.3776,1.3776,1.3776,1.3776,1.3776,1.3776,1.3776,1.3776
Arts (Sp) / Mass Media* #,University of Colombo - Sri Palee Campus,1.2367,1.2367,1.2367,1.2367,1.2367,1.2367,1.2367,1.2367,1.2367,1.2367,1.2367,1.2367,1.2367,1.2367,1.2367,1.2367,1.2367,1.2367,1.2367,1.2367,1.2367,1.2367,1.2367,1.2367,1.2367
Arts (Sp) / Performing Arts * #,University of Colombo - Sri Palee Campus,0.7248,0.7248,0.7248,0.7248,0.7248,0.7248,0.7248,0.7248,0.7248,0.7248,0.7248,0.7248,0.7248,0.7248,0.7248,0.7248,0.7248,0.7248,0.7248,0.7248,0.7248,0.7248,0.7248,0.7248,0.7248
Arts (Sab) - A * [Arts Stream],Sabaragamuwa University of Sri Lanka,1.4549,1.4549,1.4549,1.4549,1.4549,1.4549,1.4549,1.4549,1.4549,1.4549,1.4549,1.4549,1.4549,1.4549,1.4549,1.4549,1.4549,1.4549,1.4549,1.4549,1.4549,1.4549,1.4549,1.4549,1.4549
Arts (Sab) - B * [Commerce Stream],Sabaragamuwa University of Sri Lanka,1.2064,1.2064,1.2064,1.2064,1.2064,1.2064,1.2064,1.2064,1.2064,1.2064,1.2064,1.2064,1.2064,1.2064,1.2064,1.2064,1.2064,1.2064,1.2064,1.2064,1.2064,1.2064,1.2064,1.2064,1.2064
Arts-Information Technology *,University of Sri Jayewardenepura,1.8649,1.8649,1.8649,1.8649,1.8649,1.8649,1.8649,1.8649,1.8649,1.8649,1.8649,1.8649,1.8649,1.8649,1.8649,1.8649,1.8649,1.8649,1.8649,1.8649,1.8649,1.8649,1.8649,1.8649,1.8649
Aquatic Bioresources,University of Sri Jayewardenepura,0.9724,0.8293,0.9211,0.8755,0.901,0.6732,0.971,1.0186,0.8034,0.9151,0.2401,0.258,0.7855,0.6748,0.8916,0.8785,0.8976,0.732,0.7935,0.6747,0.4637,0.9572,0.9691,0.8817,1.0152
Urban Bioresources,University of Sri Jayewardenepura,0.8889,0.8634,0.8098,0.8429,0.863,0.6955,0.9118,0.9153,0.8014,0.8777,0.2624,0.1824,0.3407,0.5307,0.6731,0.6571,0.8774,0.6617,0.7557,0.5985,0.7035,0.8543,0.8139,0.8705,0.8045
Social Work *,University of Peradeniya,1.8307,1.8307,1.8307,1.8307,1.8307,1.8307,1.8307,1.8307,1.8307,1.8307,1.8307,1.8307,1.8307,1.8307,1.8307,1.8307,1.8307,1.8307,1.8307,1.8307,1.8307,1.8307,1.8307,1.8307,1.8307
Human Resource Development,Uva Wellassa University of Sri Lanka,1.4741,1.5911,1.4992,1.7073,1.5635,1.6462,1.5315,1.5698,1.5344,1.2348,1.4893,1.5817,1.5993,1.4444,1.7309,1.678,1.7149,1.6982,1.5879,1.6773,1.5371,1.6982,1.7016,1.6495,1.6722
Management Studies (Tv) - A [Commerce Stream],"University of Vavuniya, Sri Lanka",1.2134,1.2047,1.2283,1.2301,1.2263,1.1547,1.2168,1.2232,,1.0998,1.1073,,,,,1.1015,,1.0964,1.2167,,1.1014,1.153,1.2333,1.2346,1.177
