Course,University,Colombo,Gampaha,Kalutara,Matale,Kandy,Nuwara Eliya,Galle,Matara,Hambantota,Jaffna,Kilinochchi,Mannar,Mullaitivu,Vavuniya,Trincomalee,Batticaloa,Ampara,Puttalam,Kurunegala,Anuradhapura,Polonnaruwa,Badulla,Monaragala,Kegalle,Ratnapura
Medicine,University of Colombo,2.3291,2.3707,2.329,,2.3559,2.3427,2.3357,2.3413,2.3664,2.3523,2.3312,,2.6035,2.343,2.3366,2.3427,2.3439,2.3609,2.3717,2.3478,2.4901,2.386,,2.3958,2.3374
Medicine,University of Peradeniya,2.1807,2.1855,2.2109,2.2968,2.1825,2.2089,2.1812,2.1867,2.1972,2.1868,,,,2.2299,,2.1827,2.2954,2.1997,2.1811,2.185,2.228,2.1834,2.1977,2.1815,2.1809
Medicine,University of Sri Jayewardenepura,2.1282,2.1374,2.1294,,2.1436,,2.1291,2.1302,2.1466,2.1331,2.1628,,,2.1625,2.1399,2.1449,2.13,2.1282,2.1311,2.1362,2.1644,2.1701,,2.1407,2.1463
Medicine,University of Kelaniya,2.0511,2.0542,2.0739,2.0739,2.0513,,2.0745,2.0513,2.0552,,,,,2.0804,2.0635,2.0524,2.0562,2.0544,2.0518,2.1113,2.098,2.0548,2.0601,2.0546,2.0527
Medicine,University of Jaffna,1.9284,1.7173,1.7933,1.7872,1.8311,1.7018,2.0383,,1.8669,1.87,1.7085,1.7153,1.7161,1.7178,1.7032,1.8369,1.7939,1.7014,1.8317,1.7029,1.779,1.7012,1.7648,1.7941,1.7713
Medicine,University of Ruhuna,1.9632,1.9682,1.9664,1.9687,1.99,1.9859,1.9683,1.9661,1.9932,,,2.008,,,1.9769,2.0273,1.9645,1.9934,1.9628,1.9675,1.9648,1.9627,1.9966,1.9692,1.9663
Medicine,University of Moratuwa,1.922,1.9214,1.9138,,1.9032,,1.8991,1.9236,1.909,1.9043,,,,2.0106,1.9682,1.9193,2.0042,1.9593,1.9167,1.9516,,1.9425,,1.9024,1.9451
Medicine,"Eastern University, Sri Lanka",1.9192,,,,,1.4755,,,1.8476,,1.4665,,,,1.9139,1.8755,1.8026,,,1.495,1.5706,1.6782,1.4059,,
Medicine,Rajarata University of Sri Lanka,1.933,1.8387,1.8743,1.8363,1.8596,1.846,1.9164,1.944,1.8934,,,,,,1.8458,1.8609,1.8444,1.8379,1.8368,1.8668,1.8391,1.8362,1.872,1.8414,1.8622
Medicine,Sabaragamuwa University of Sri Lanka,1.9256,1.6995,1.7943,,1.8493,,1.8923,1.9279,1.853,,,,,,,,1.8129,1.7307,1.9561,1.8704,1.7713,1.6983,1.754,1.8019,1.785
