Course,University,Colombo,Gampaha,Kalutara,Matale,Kandy,Nuwara Eliya,Galle,Matara,Hambantota,Jaffna,Kilinochchi,Mannar,Mullaitivu,Vavuniya,Trincomalee,Batticaloa,Ampara,Puttalam,Kurunegala,Anuradhapura,Polonnaruwa,Badulla,Monaragala,Kegalle,Ratnapura
Teaching English As A Second Language (Tesl) *,University of Kelaniya,1.1755,1.1755,1.1755,1.1755,1.1755,1.1755,1.1755,1.1755,1.1755,1.1755,1.1755,1.1755,1.1755,1.1755,1.1755,1.1755,1.1755,1.1755,1.1755,1.1755,1.1755,1.1755,1.1755,1.1755,1.1755
Visual Arts #,University of the Visual & Performing Arts,0.9358,1.2707,1.0508,1.0746,0.7957,1.5532,0.4376,1.2614,1.3184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1106,1.3716,1.1381,1.1172,1.1309,0.924,1.0522,1.1077,1.3927
Music #,University of the Visual & Performing Arts,0.7157,0.8201,1.016,0.8519,1.0009,0.7132,0.8689,1.0616,0.5605,0.0,0.0,0.0,0.0,0.0,0.7011,0.0,0.4921,-0.1142,0.986,1.027,1.1018,0.5489,0.8975,0.7382,0.9244
Dance #,University of the Visual & Performing Arts,0.9235,0.8504,1.1598,1.0851,1.1519,1.0434,1.1638,1.2709,0.9749,0.0,0.0,0.0,0.0,1.0455,0.9568,0.0,1.0998,1.0888,1.0687,0.9028,1.1095,1.1312,1.2255,1.1965,1.1185
Drama & Theatre #,University of the Visual & Performing Arts,0.5865,0.5616,0.6111,0.4412,1.0818,-0.0258,0.0,0.8921,0.3486,0.0,0.0,0.0,0.0,0.0,0.3841,0.0,0.6545,0.0,0.1447,1.094,0.882,0.9791,1.2947,1.0833,0.8801
Art & Design #,Ramanathan Academy of Fine Arts,-0.3314,0.0,0.2525,1.0954,0.0578,0.5425,1.0351,0.0,0.8798,0.6002,-0.2175,0.3115,0.0,0.8598,0.8837,0.4694,0.5379,0.0302,0.3259,0.2802,0.0,1.0105,0.0,-0.1697,1.0341
Music #,Ramanathan Academy of Fine Arts,-0.0797,0.0,0.0,0.2488,0.2481,0.6033,0.0,0.0,0.0,0.5852,0.4932,0.5897,0.5842,0.2739,-0.1149,0.387,-0.1248,0.0,0.0,0.0,0.0,0.4313,0.0,0.0,0.9058
Dance #,Ramanathan Academy of Fine Arts,0.5468,0.5575,1.2601,1.0683,0.479,-0.0706,0.0,0.0,0.0,0.3037,0.3794,0.0071,0.1419,0.0883,0.0725,0.2104,-0.3469,0.0,0.0,0.0,0.0,0.5867,0.0,0.0,0.2438
Visual & Technological Arts #,Swami Vipulananda Institute of Aesthetic Studies,0.0,0.0,0.0,-0.1356,0.0,0.0,0.0,-0.357,0.5252,-0.1682,0.0,0.0,0.0,0.6031,0.0208,0.2497,-0.3182,0.6475,0.7619,0.2047,0.091,0.351,0.0,0.4717,0.106
Music #,Swami Vipulananda Institute of Aesthetic Studies,-0.5249,0.0,0.0,1.0637,-0.345,0.35,0.0,0.0,0.0,0.476,0.3156,0.4577,0.5227,0.2264,0.2449,0.3956,-0.275,0.0,0.0,0.0,0.0,0.1841,0.0,0.0,-0.1825
Dance #,Swami Vipulananda Institute of Aesthetic Studies,-0.4221,-0.1858,0.0331,-0.459,-0.0739,0.651,0.0,0.0,0.0,0.4741,0.6594,0.5174,0.6384,0.3673,0.6335,0.6787,0.6665,0.487,0.0,0.0,0.0,0.6173,0.0,0.1758,0.0
Drama & Theatre #,Swami Vipulananda Institute of Aesthetic Studies,-0.1472,0.0,0.0,0.0411,-0.1318,0.9323,0.0,0.0,0.0,0.9244,0.9554,0.708,0.8571,0.5914,0.879,0.8879,0.889,0.8182,0.0,0.0,0.0,0.6636,0.0,0.8511,0.8615
