Course,University,Colombo,Gampaha,Kalutara,Matale,Kandy,Nuwara Eliya,Galle,Matara,Hambantota,Jaffna,Kilinochchi,Mannar,Mullaitivu,Vavuniya,Trincomalee,Batticaloa,Ampara,Puttalam,Kurunegala,Anuradhapura,Polonnaruwa,Badulla,Monaragala,Kegalle,Ratnapura
Medicine,University of Colombo,2.3767,2.3805,2.4227,,2.4334,2.7035,2.3885,2.385,2.378,2.3835,,,,2.4821,2.3989,2.3945,2.4058,2.4233,2.3959,2.4681,,2.5804,2.5891,2.5084,2.3781
Medicine,University of Peradeniya,2.2158,2.2177,2.2191,2.2385,2.2319,2.2916,2.2256,2.2213,2.25,2.2358,,,2.2279,2.3149,2.2215,,2.2607,2.3682,2.2289,2.2317,2.2155,2.2295,2.2399,2.2435,2.2462
Medicine,University of Sri Jayewardenepura,2.1569,2.1569,2.1868,2.1695,2.1569,,2.1674,2.1695,2.1684,2.1649,2.1828,,,,,2.1785,2.1621,2.27,2.1676,,,2.1865,2.1999,2.1772,2.1963
Medicine,University of Kelaniya,2.0661,2.0652,2.0762,2.1432,2.0726,,2.0827,2.0737,2.0765,,,,,,,2.1244,2.1186,2.1561,2.0672,2.0831,2.0882,2.0664,,2.0836,2.0957
Medicine,University of Jaffna,1.9711,1.8543,,1.7133,1.9087,1.7125,,,1.9169,1.845,1.8655,1.7938,1.7552,1.8219,1.6922,1.7675,1.7026,1.6928,1.8745,1.8269,1.8389,1.6969,,,1.831
Medicine,University of Ruhuna,2.0033,2.0048,2.0066,2.0447,2.0004,,2.0004,2.0043,2.0111,,,2.0248,,,2.0072,,2.0075,2.0595,2.0051,2.0338,2.0067,2.0116,2.0352,2.0078,2.0012
Medicine,University of Moratuwa,1.9621,1.9024,1.9051,,1.9117,,1.9237,1.958,1.9322,,,,,,,1.8866,1.907,,1.8877,,1.9014,,,1.9378,1.9976
Medicine,"Eastern University, Sri Lanka",1.9722,,,,,1.4205,,,,,1.5551,1.9136,1.4784,,1.528,1.7844,1.6709,1.6153,,1.5535,1.6783,,1.5708,,
Medicine,Rajarata University of Sri Lanka,1.9626,1.8925,1.8863,1.9014,1.8843,1.9744,1.926,,1.9336,,,,,,,,1.9289,1.8925,1.8849,1.8868,1.9285,1.8959,1.9914,1.8928,1.8917
Medicine,Sabaragamuwa University of Sri Lanka,1.9883,1.8083,1.8838,,,1.7256,1.9441,1.9739,1.9558,,,,,,1.7615,,1.7415,,,,1.7391,1.8105,1.7765,,1.8006
Medicine,Wayamba University of Sri Lanka,1.9686,1.8118,1.9599,1.7035,1.909,1.6252,,1.9892,,,,,,,1.6451,1.8127,1.675,1.6189,1.8633,1.6804,1.6881,1.6211,1.6068,,
Dental Surgery,University of Peradeniya,1.8926,1.7935,1.8594,1.7007,1.8515,,1.8994,1.88,1.877,1.8321,1.5086,1.7261,,1.7924,1.5202,1.7625,1.6684,1.5901,1.831,1.5155,1.6673,1.618,1.5696,1.8923,1.7921
Dental Surgery,University of Sri Jayewardenepura,1.8907,1.7976,,,,1.2992,,1.9429,,,,,1.4075,,1.5012,,,,,1.5053,,,,,
